tax_id	c5
577	10
470	4
95486	2
482957	9
63745	57
1338	104
54736	2
36630	93
76860	5
146939	45
1747	0
1303	5
39777	52
87883	30
1336	80
300	13
329	1
29466	10
5062	77
53412	18
169292	9
287	29
305	36
316	91
1833	34
551760	3
1008	24
273371	27
984	25
280	38
86049	37
257758	26
1318	25
1302	23
158822	29
573	30
65741	4
1328	1
1354	14
1307	21
259537	42
321662	63
106654	37
86304	25
1549858	28
562	17
2033	35
1085624	21
38301	2
67825	6
1630693	21
104336	0
28129	7
60133	0
37727	25
216778	2
43305	8
40324	7
28449	6
759620	9
82633	17
1148157	4
839	22
347	20
480	6
730	30
34029	7
5059	2
729	4
231932	0
40542	1
1017	2
119219	0
221027	11
354356	3
80869	6
1648404	5
1379870	53
34073	8
192843	21
1283	6
152480	14
31998	0
542	7
777	8
114155	4
397260	6
851	22
187327	3
46124	2
28112	1
185300	3
489	3
818	1
77020	20
69823	22
1313	13
45634	3
342113	12
76775	8
28132	49
28037	0
971	15
1496	10
327575	1
28118	3
1305	14
148447	33
487	3
1902136	2
940615	3
43669	10
589436	15
328814	17
76517	6
53346	7
1018	22
495	0
1382	4
290053	1
85085	5
59505	2
43675	1
187326	2
46125	16
486	13
200	2
907	2
712633	27
93220	0
1314	7
1308	26
539	8
28188	11
150055	2
905	14
1396	0
28264	1
2051	8
36861	11
310514	7
817	12
35814	18
1642646	6
214856	3
652716	57
52773	10
39950	0
66219	8
837	7
1590	3
76122	5
143393	20
252970	6
1282	12
1351	9
28124	0
33033	6
1349	6
301301	17
1648	5
208960	6
208226	6
260714	5
821	0
1661	7
33034	6
1646	7
33952	3
196	2
393921	6
2751	0
826	6
397865	5
137732	0
1329899	4
652787	7
2124	20
870	5
669041	3
2047	0
28131	1
1731	2
93221	5
41976	7
132920	11
1156431	3
43674	9
376805	3
412963	2
1352	8
850	0
712357	2
1355477	1
382	5
80867	11
1723645	3
62140	7
303	2
408	8
575	2
199596	11
7	2
160791	4
76777	4
56426	7
28068	4
74313	6
593909	13
1288	19
370764	1
1938334	6
96345	2
1177712	6
1292	3
28448	4
487316	5
483	2
1311	3
746128	11
28127	3
28134	0
76123	6
5057	1
47678	4
1884263	2
39778	2
53442	4
228603	6
113107	6
182710	2
1255	6
1348	6
712538	6
143361	0
132919	4
823	3
1244531	5
37734	7
1145276	5
554406	4
28116	8
28133	3
84757	3
51669	4
171695	0
37769	4
341694	6
55508	2
1597	5
281920	0
199592	4
248315	6
1476577	4
216816	20
1176649	6
1694	5
28123	7
361575	2
1709381	0
1796613	0
197614	10
558152	9
1304	35
72000	7
1691	2
1511	6
461876	0
380021	5
199	11
1834196	9
84023	6
208596	0
194963	1
1193095	5
334543	4
1681	3
160453	6
386490	5
81462	5
351091	6
1334	0
283734	11
1281	1
520	2
2048654	3
87541	4
90245	11
79885	5
1852377	6
1433126	16
2748	6
824	12
1284	2
1624	12
735	0
264361	5
29360	31
75588	1
1785995	5
481743	5
79880	0
497724	13
28035	4
147709	11
53345	3
519	2
187452	4
78535	0
28031	12
94624	2
61624	2
716	0
28450	8
73919	3
1138822	6
1055487	1
75985	1
718	1
708126	2
302406	6
518	2
1376	2
1245	4
853	0
727	1
732	3
544580	12
2756	3
217204	8
1006155	2
340170	2
421767	0
128944	0
69966	29
485	9
59310	1
519472	13
985002	2
85404	6
67854	0
204773	0
36873	2
1196083	1
1345	0
1534	2
1871025	1
1280	1
29546	3
65058	1
863	2
563	2
82987	5
1366	5
29391	5
29385	11
1010	1
1598	2
1471	1
33964	0
158847	5
1773	11
364410	1
337	6
1306787	5
155077	0
373	3
454171	3
1825069	10
34003	1
5478	7
1085	1
56458	1
44008	1
266	5
552810	1
267818	0
521	9
1449	0
1642	1
171437	0
588932	1
1639	3
223967	3
55518	3
1632	2
1404244	2
330922	8
1599	2
873	0
1270	5
47770	12
80637	1
105560	0
34062	2
133453	8
34085	2
1502	0
1095183	5
1945662	8
5061	0
1515	4
1161942	1
28896	1
39483	2
312306	0
46429	0
1061	4
35760	0
308354	6
37919	0
246787	4
48296	1
332055	1
332056	1
160386	2
1679721	10
596085	0
2702	4
885581	3
48935	0
47715	4
359408	1
47880	3
1246	0
1294143	1
261302	4
353	6
511	0
106590	0
163011	4
136609	8
74829	6
266009	2
75612	1
1252	5
665099	1
42817	0
1158459	1
205844	0
2121	2
1508404	3
1750	6
244366	1
326523	21
423477	7
98403	2
47735	4
655307	0
1076550	1
365349	6
1772	5
1260	0
1131703	4
33203	0
13373	0
1031542	1
584	1
545	0
2025876	5
168471	2
273376	1
28091	0
1400053	4
232259	3
