tax_id	c5
577	18
470	5
95486	3
482957	23
63745	122
1338	207
54736	4
36630	198
76860	14
146939	86
1747	0
1303	11
39777	119
87883	43
1336	126
300	33
329	1
29466	19
5062	171
53412	29
169292	18
287	54
305	74
316	185
1833	73
551760	1
1008	47
273371	77
984	39
280	53
86049	70
257758	40
1318	48
1302	52
158822	49
573	80
65741	6
1328	4
1354	24
1307	47
259537	72
321662	109
106654	46
86304	45
1549858	46
562	42
2033	73
1085624	39
38301	3
67825	10
1630693	39
104336	0
28129	11
60133	1
37727	42
216778	3
43305	26
40324	16
28449	38
759620	24
82633	44
1148157	11
839	36
347	25
480	22
730	53
34029	18
5059	2
729	7
231932	1
40542	2
1017	12
119219	1
221027	22
354356	12
80869	15
1648404	11
1379870	116
34073	13
192843	39
1283	18
152480	36
31998	0
542	18
777	22
114155	11
397260	11
851	40
187327	7
46124	8
28112	8
185300	8
489	5
818	6
77020	37
69823	34
1313	23
45634	3
342113	14
76775	10
28132	118
28037	0
971	23
1496	14
327575	4
28118	8
1305	24
148447	80
487	4
1902136	13
940615	6
43669	34
589436	36
328814	24
76517	20
53346	23
1018	58
495	1
1382	6
290053	3
85085	21
59505	5
43675	0
187326	10
46125	40
486	16
200	10
907	5
712633	54
93220	3
1314	9
1308	45
539	11
28188	23
150055	5
905	23
1396	2
28264	6
2051	12
36861	18
310514	12
817	22
35814	21
1642646	10
214856	15
652716	126
52773	16
39950	1
66219	19
837	19
1590	14
76122	7
143393	29
252970	9
1282	14
1351	12
28124	0
33033	7
1349	13
301301	32
1648	11
208960	8
208226	16
260714	5
821	9
1661	12
33034	7
1646	11
33952	12
196	7
393921	13
2751	0
826	16
397865	8
137732	0
1329899	9
652787	19
2124	48
870	12
669041	6
2047	3
28131	3
1731	7
93221	10
41976	19
132920	15
1156431	8
43674	21
376805	13
412963	14
1352	18
850	7
712357	1
1355477	4
382	13
80867	17
1723645	7
62140	13
303	7
408	14
575	4
199596	12
7	2
160791	5
76777	6
56426	8
28068	19
74313	5
593909	23
1288	23
370764	0
1938334	16
96345	6
1177712	13
1292	9
28448	9
487316	13
483	11
1311	2
746128	16
28127	3
28134	1
76123	11
5057	2
47678	13
1884263	3
39778	4
53442	7
228603	8
113107	14
182710	14
1255	6
1348	7
712538	8
143361	0
132919	11
823	8
1244531	7
37734	14
1145276	7
554406	12
28116	20
28133	4
84757	8
51669	11
171695	0
37769	7
341694	6
55508	4
1597	12
281920	0
199592	8
248315	12
1476577	7
216816	40
1176649	12
1694	11
28123	14
361575	4
1709381	0
1796613	2
197614	23
558152	9
1304	62
72000	7
1691	9
1511	10
461876	0
380021	7
199	17
1834196	23
84023	13
208596	0
194963	0
1193095	8
334543	11
1681	4
160453	11
386490	5
81462	8
351091	10
1334	0
283734	22
1281	5
520	13
2048654	5
87541	5
90245	25
79885	14
1852377	22
1433126	19
2748	9
824	18
1284	2
1624	21
735	2
264361	6
29360	49
75588	4
1785995	12
481743	6
79880	4
497724	16
28035	14
147709	25
53345	2
519	2
187452	6
78535	1
28031	33
94624	4
61624	3
716	0
28450	9
73919	7
1138822	12
1055487	1
75985	3
718	4
708126	11
302406	12
518	5
1376	8
1245	8
853	3
727	3
732	11
544580	26
2756	4
217204	12
1006155	2
340170	3
421767	0
128944	4
69966	57
485	18
59310	1
519472	21
985002	2
85404	11
67854	0
204773	2
36873	4
1196083	1
1345	0
1534	3
1871025	2
1280	0
29546	4
65058	11
863	3
563	2
82987	9
1366	9
29391	6
29385	33
1010	10
1598	4
1471	5
33964	0
158847	6
1773	17
364410	1
337	6
1306787	16
155077	7
373	7
454171	8
1825069	15
34003	5
5478	11
1085	2
56458	0
44008	1
266	6
552810	1
267818	0
521	15
1449	1
1642	9
171437	2
588932	1
1639	6
223967	8
55518	3
1632	4
1404244	7
330922	12
1599	3
873	0
1270	15
47770	21
80637	0
105560	2
34062	2
133453	12
34085	1
1502	0
1095183	10
1945662	12
5061	0
1515	13
1161942	1
28896	4
39483	2
312306	3
46429	3
1061	8
35760	2
308354	9
37919	2
246787	6
48296	5
332055	2
332056	4
160386	3
1679721	19
596085	0
2702	7
885581	7
48935	2
47715	12
359408	0
47880	5
1246	0
1294143	0
261302	12
353	5
511	0
106590	0
163011	10
136609	10
74829	12
266009	6
75612	1
1252	11
665099	7
42817	0
1158459	1
205844	0
2121	3
1508404	6
1750	10
244366	1
326523	34
423477	13
98403	11
47735	9
655307	2
1076550	5
365349	9
1772	8
1260	1
1131703	7
33203	0
13373	0
1031542	0
584	2
545	1
2025876	7
168471	2
273376	5
28091	0
1400053	4
232259	6
