tax_id	c5
577	37
470	12
95486	4
482957	34
63745	239
1338	461
54736	6
36630	390
76860	34
146939	169
1747	0
1303	23
39777	250
87883	99
1336	268
300	57
329	2
29466	39
5062	331
53412	69
169292	39
287	115
305	148
316	355
1833	161
551760	5
1008	110
273371	119
984	81
280	124
86049	145
257758	95
1318	109
1302	99
158822	109
573	148
65741	13
1328	4
1354	40
1307	101
259537	154
321662	237
106654	106
86304	88
1549858	94
562	92
2033	133
1085624	89
38301	9
67825	21
1630693	72
104336	4
28129	19
60133	2
37727	97
216778	7
43305	32
40324	27
28449	72
759620	52
82633	73
1148157	15
839	68
347	78
480	35
730	92
34029	35
5059	5
729	19
231932	1
40542	5
1017	15
119219	2
221027	50
354356	24
80869	24
1648404	25
1379870	219
34073	25
192843	88
1283	44
152480	74
31998	0
542	24
777	47
114155	27
397260	11
851	82
187327	17
46124	11
28112	15
185300	13
489	6
818	8
77020	76
69823	75
1313	47
45634	4
342113	28
76775	34
28132	227
28037	0
971	51
1496	40
327575	9
28118	13
1305	48
148447	146
487	7
1902136	26
940615	10
43669	64
589436	66
328814	63
76517	45
53346	44
1018	121
495	2
1382	20
290053	7
85085	51
59505	6
43675	0
187326	15
46125	84
486	34
200	26
907	13
712633	111
93220	6
1314	13
1308	96
539	36
28188	55
150055	17
905	47
1396	2
28264	12
2051	19
36861	36
310514	35
817	39
35814	55
1642646	30
214856	25
652716	221
52773	42
39950	2
66219	27
837	37
1590	19
76122	23
143393	66
252970	20
1282	29
1351	25
28124	0
33033	24
1349	33
301301	66
1648	21
208960	17
208226	35
260714	11
821	9
1661	20
33034	14
1646	17
33952	22
196	14
393921	27
2751	0
826	24
397865	19
137732	0
1329899	20
652787	30
2124	78
870	18
669041	10
2047	5
28131	4
1731	10
93221	12
41976	32
132920	21
1156431	20
43674	37
376805	23
412963	19
1352	33
850	13
712357	6
1355477	9
382	20
80867	39
1723645	13
62140	25
303	11
408	29
575	13
199596	40
7	5
160791	8
76777	9
56426	20
28068	28
74313	10
593909	44
1288	65
370764	6
1938334	22
96345	10
1177712	18
1292	18
28448	15
487316	37
483	24
1311	8
746128	29
28127	6
28134	2
76123	20
5057	6
47678	22
1884263	7
39778	7
53442	17
228603	14
113107	23
182710	24
1255	14
1348	14
712538	25
143361	0
132919	17
823	14
1244531	25
37734	28
1145276	22
554406	17
28116	29
28133	8
84757	13
51669	19
171695	3
37769	24
341694	11
55508	10
1597	20
281920	0
199592	20
248315	18
1476577	17
216816	68
1176649	23
1694	21
28123	28
361575	2
1709381	0
1796613	3
197614	35
558152	25
1304	126
72000	16
1691	16
1511	20
461876	0
380021	13
199	28
1834196	26
84023	21
208596	1
194963	2
1193095	18
334543	22
1681	10
160453	22
386490	8
81462	15
351091	17
1334	0
283734	41
1281	7
520	19
2048654	13
87541	9
90245	46
79885	24
1852377	35
1433126	48
2748	11
824	37
1284	6
1624	34
735	5
264361	15
29360	101
75588	7
1785995	22
481743	11
79880	6
497724	43
28035	20
147709	46
53345	7
519	8
187452	13
78535	1
28031	59
94624	10
61624	8
716	0
28450	24
73919	5
1138822	26
1055487	6
75985	6
718	5
708126	21
302406	19
518	11
1376	13
1245	19
853	6
727	5
732	19
544580	42
2756	10
217204	18
1006155	4
340170	9
421767	0
128944	9
69966	110
485	29
59310	7
519472	40
985002	5
85404	13
67854	1
204773	5
36873	13
1196083	2
1345	0
1534	5
1871025	9
1280	2
29546	13
65058	22
863	8
563	2
82987	13
1366	18
29391	20
29385	52
1010	17
1598	12
1471	6
33964	6
158847	13
1773	31
364410	1
337	17
1306787	26
155077	12
373	11
454171	12
1825069	28
34003	10
5478	19
1085	9
56458	1
44008	5
266	13
552810	4
267818	0
521	26
1449	0
1642	13
171437	2
588932	5
1639	17
223967	12
55518	7
1632	7
1404244	14
330922	27
1599	10
873	3
1270	21
47770	43
80637	3
105560	3
34062	10
133453	22
34085	2
1502	0
1095183	18
1945662	28
5061	5
1515	23
1161942	2
28896	7
39483	2
312306	4
46429	5
1061	16
35760	6
308354	24
37919	2
246787	15
48296	6
332055	2
332056	10
160386	5
1679721	49
596085	2
2702	13
885581	14
48935	5
47715	22
359408	2
47880	9
1246	0
1294143	2
261302	20
353	13
511	0
106590	0
163011	14
136609	27
74829	20
266009	8
75612	6
1252	17
665099	8
42817	0
1158459	3
205844	3
2121	8
1508404	12
1750	14
244366	2
326523	66
423477	29
98403	14
47735	20
655307	5
1076550	6
365349	13
1772	14
1260	4
1131703	16
33203	0
13373	2
1031542	1
584	4
545	4
2025876	14
168471	6
273376	7
28091	0
1400053	12
232259	12
