species	ZA8	ZG1	ZB12	ZA3	LM3	ZC16	ZE7	LM14	ZF5	ZD1	ZE2	ZB4	ZC1	ZB14	LM1	LM25	LM26	ZH3	LM12	ZE8	LM18	ZA7	ZF4	LM24	ZG4	LM29	ZH2	LM4	ZC5	ZE6	LM13	ZE4	ZF7	ZA1	LM10	ZF8	LM28	ZC4	LM19	ZC14	ZC8	ZC7	ZC18	ZC10	ZF6	ZC13	ZB9	LM6	LM21	ZF2	LM15	ZC20	ZG3	ZB13	ZB2	LM30	LM7	LM17	LM11	ZB7	LM27	ZC2	ZB3	ZA5	ZC17	ZB6	LM8	ZB10	LM9	ZF1	ZE3	ZC22	ZC21	ZB8	ZA2	ZB11	ZA4	LM22	ZA6	LM5	ZB15	ZG2	ZC9	ZC12	ZH1	LM20	ZB5	ZE1	ZE5	LM16	ZC19	ZC3	ZF3	ZC11	ZB1	ZC15	LM23	LM2	ZC6	ZD2
Faecalibacterium prausnitzii	376	3	0	4	13	102	30	5	1	3	8	16	287	263	0	119	17	4	0	0	237	13	0	30	204	963	25	76	0	0	132	2	5	214	32	116	91	2	23	61	112	25	2	1163	59	189	441	6387	2	0	16	923	51	5	12	46	4	3	0	10	0	151	0	22	0	256	4	4	0	53	3	0	178	70	4	0	667	0	272	14	0	32	143	183	100	21	4	294	0	242	32	47	1131	2737	152	272	160	1	49	206
Bacteroides vulgatus	261	25	4	73	38	251	6	2	7	0	532	93	77	262	41	123	116	70	59	19	334	29	4	45	1491	3005	28	344	36	3	295	19	51	73	38	86	859	5	20	62	396	139	0	3686	117	492	3234	62268	25	193	461	9377	102	33	40	144	60	88	0	91	694	14	120	84	10	953	0	1	5	29	9	46	500	689	7	119	1420	594	813	17	21	231	413	256	74	56	9	1143	1	1074	69	183	5488	599	591	69	982	50	253	3419
Fusobacterium nucleatum	243	0	1	46	1	17	0	1	0	0	0	0	9	34	0	70	27	0	129	132	154	2	0	5	2	2	2	0	3	0	41	0	0	1	438	0	112	0	16	0	1171	0	41	185	14	1	79	271381	45	0	1	7	0	29	3526	0	47	0	5	1	230	131	0	94	153	46	6	929	1	64	0	1	6	7	202	1	8	7	31259	31	565	1	0	26	23	56	3	0	0	10255	17	2	1239	1	0	67	3120	0	251	0
Ruminococcus bicirculans	218	0	0	0	0	9	0	0	0	0	0	1	50	60	0	5	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	2	0	9	1	1687	0	1	14	121	1	0	0	0	0	0	0	0	1	0	0	15	0	6	3	0	0	7	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	7	0	6	561	0	3	0	0	0	0
Bacteroides fragilis	208	0	136	46	39	0	0	24	1	0	69	0	181	6	0	165	353	0	129	2521	371	46	2	171	12	28	2	3	1	0	212	0	7	6	1257	43	270	1	21	0	1380	7	31	1055	1	6	564	590728	5	13	599	298	3	20	1729	643	69	2	840	7	627	5	371	1131	208	261	6	315	271	1	1	18	197	5	10	1	24	749	2958	75	830	69	251	1780	1	213	8	4	0	136	203	3	1702	87	187	62	2296	1	103	35
Roseburia hominis	141	1	0	3	0	0	0	1	0	0	0	16	0	0	0	34	0	0	3	1043	186	11	0	0	106	106	6	0	0	0	47	3	0	81	13	18	0	0	0	0	169	10	0	769	91	116	0	6222	0	39	13	0	0	0	8	6	4	0	10	1	0	0	21	26	7	118	0	6	0	87	1	1	56	0	1	3	84	22	184	0	21	0	0	78	0	0	0	0	0	279	11	0	125	1083	20	56	0	0	0	0
Anaerostipes hadrus	130	0	0	12	2	0	0	1	0	0	24	10	127	49	1	0	0	2	0	1274	39	0	0	0	92	66	18	0	0	0	23	1	4	0	19	23	13	1	7	21	0	0	1	232	0	0	412	2248	0	143	0	0	0	0	7	2	7	0	16	0	25	144	0	0	7	120	0	3	0	0	0	0	0	54	2	1	0	0	152	0	0	0	0	194	0	0	0	32	0	134	0	0	302	2347	92	52	0	2	0	255
[Eubacterium] rectale	111	0	0	0	0	200	0	0	0	0	0	0	226	0	0	121	0	0	0	0	0	0	0	0	1530	113	0	0	0	0	0	0	0	1085	348	0	0	0	0	0	0	0	0	3148	939	0	0	3445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	591	0	0	0	0	0	0	708	0	0	0	125	0	0	0	0	0	233	0	0	0	0	0	0	110	0	0	353	3727	0	0	0	0	0	1360
Acinetobacter pittii	83	306	51	48	0	24	4	0	11	766	116	38	25	47	1	0	0	28	0	428	2	32	6	1	172	0	37	1	23	14	1	54	59	155	0	108	0	35	1	22	67	147	4	48	681	121	108	14	3	230	0	29	476	35	33	0	1	0	0	7	0	192	15	158	26	36	0	38	0	7	24	38	8	7	4	94	19	0	38	0	37	161	155	141	45	0	16	20	92	2	16	42	160	167	19	9	0	1	20	97
Stenotrophomonas maltophilia	69	86	108	63	1	59	19	0	56	1247	114	130	92	88	1	0	0	62	0	264	1	32	30	0	174	2	95	18	59	51	0	113	78	147	0	105	0	115	0	66	63	86	50	79	460	121	272	31	0	340	0	76	168	92	84	0	0	2	0	35	0	289	64	133	72	106	0	102	0	16	68	80	16	32	15	164	48	0	53	0	136	71	133	108	104	0	44	65	219	2	43	73	198	110	63	32	0	1	79	166
Bacteroides caccae	61	0	1	21	0	37	0	0	0	2	175	41	33	79	2	16	1	0	24	23	8	7	0	116	104	179	5	34	0	0	198	2	5	21	3	5	6	3	13	78	47	43	6	418	0	66	337	603	1	189	2	1478	1	4	44	21	4	2	51	0	51	1	4	1	1	2	1	0	11	1	15	16	11	202	2	21	11	27	1019	0	11	318	4	64	1	8	1	37	0	321	6	24	18	0	151	10	200	4	16	140
Odoribacter splanchnicus	60	1	0	12	0	19	1	2	0	0	0	1	86	0	2	67	10	0	0	14	142	17	0	15	127	182	1	27	0	0	111	3	2	271	39	28	0	2	8	57	0	0	0	852	0	168	285	4782	0	0	12	397	0	12	15	28	10	1	5	0	12	12	0	0	7	146	0	1	0	16	0	5	84	13	4	1	16	32	1757	5	0	9	0	32	30	0	1	37	0	200	3	19	0	491	14	36	36	7	8	0
Bacteroides ovatus	45	0	4	22	35	21	0	2	0	0	127	10	79	28	2	13	45	4	7	29	62	20	0	90	97	61	36	21	7	0	81	6	87	48	96	7	63	1	88	11	135	10	9	366	2	144	2319	1572	1	111	1	2457	0	9	274	14	15	7	6	27	150	10	23	19	1	53	0	16	30	22	2	89	466	233	1	1	30	45	12431	2	37	35	37	111	11	5	1	51	0	4898	16	10	266	305	165	77	150	4	9	244
Bacteroides dorei	45	3	0	10	6	29	2	11	2	5	160	80	372	231	10	0	0	12	15	14	72	4	2	353	217	515	230	50	5	2	126	3	440	231	13	585	491	2	157	12	103	47	3	615	20	70	473	13271	5	1067	82	1254	19	11	26	24	17	11	16	8	87	5	52	18	2	129	0	0	24	6	1	10	286	100	0	0	261	101	384	5	34	205	873	127	16	27	0	161	0	771	8	39	2914	1325	94	306	233	10	46	540
Collinsella aerofaciens	44	1	1	0	9	54	13	1	1	0	0	1	0	25	0	27	0	0	2	0	85	2	2	13	69	0	0	0	0	0	51	4	19	77	23	24	2	3	0	8	0	11	5	467	9	79	0	1427	0	0	0	28	6	2	0	1	3	0	0	0	62	42	0	4	2	115	0	10	0	230	5	0	28	0	3	2	88	15	405	3	0	7	99	123	38	8	0	37	0	4	0	12	0	774	122	0	28	1	29	0
Flavonifractor plautii	32	0	0	0	2	2	0	0	0	0	0	1	0	10	0	3	0	0	0	0	32	2	0	11	2	38	0	2	2	0	10	0	2	0	14	14	13	0	0	4	30	2	0	54	4	134	91	1773	0	30	0	205	0	1	2	10	0	32	30	4	12	0	15	11	3	78	0	13	0	14	0	2	12	18	0	1	12	35	242	1	30	14	0	0	5	6	0	7	0	297	2	2	0	211	0	12	722	0	5	136
Cutibacterium acnes	31	68	25	35	4	6	10	0	9	62	32	5	19	31	1	15	1	21	1	121	24	0	26	0	129	5	25	54	0	68	0	53	21	99	2	29	25	11	0	9	328	598	35	17	143	0	7	450	36	136	0	7	58	0	5	7	8	18	2	6	10	56	2	23	29	2	0	6	1	8	9	7	3	2	2	66	14	0	7	3	51	222	48	48	27	8	1	6	40	0	11	171	45	0	5	14	4	2	10	36
Parvimonas micra	30	0	23	12	3	35	0	1	0	0	0	1	0	214	0	279	107	0	67	0	95	4	0	5	0	1	0	0	3	0	110	0	7	0	530	1	74	0	194	0	1215	0	1	121	0	4	0	20794	1	0	0	0	0	52	133	0	116	2	14	3	509	6	0	22	73	161	7	59	0	0	0	0	6	0	25	0	0	338	29357	8	1	0	9	9	7	176	7	0	0	19778	55	0	890	35	1	3	779	0	26	1
[Eubacterium] eligens	27	0	0	0	0	16	1	0	0	0	0	1	10	37	0	42	2	0	0	0	85	0	0	0	8	21	5	0	2	0	0	0	1	0	0	3	0	1	1	17	8	11	1	166	0	0	0	384	1	49	0	1067	2	2	1	0	5	0	0	0	0	4	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	29	0	0	0	0	139	0	0	0	0	0	70	0	0	0	2005	5	10	0	3	1	0
Escherichia coli	25	9	1	18	5	234	2	7	9	224	97067	3	1	5	9	23	36	7	13	72	132	5	7	6	8	113	1	47	9	2	72	3	4	1	0	46	81	0	2	2	159	37	19	94	9	32	7	4406	39	13	4	38	2	17	166	10	17	5	454	1	34	131	25	8	7	10666	0	15	8	78	2	9	0	13	6	6	1	244	0	3	208	10	54	2	2328	73	4	93	5	649	11	74	547	6	31	39	9	9	75	11
Parabacteroides distasonis	23	1	12	0	28	45	3	2	0	1	35	7	153	26	0	130	3	2	7	4	56	3	2	61	97	759	15	36	3	1	55	1	4	0	74	46	78	1	18	27	71	25	0	210	0	63	423	6577	1	73	57	3961	0	4	11	0	4	5	0	0	30	11	29	3	0	58	0	0	1	0	1	26	42	0	2	8	50	40	565	2	44	14	43	26	22	19	0	0	0	69	10	23	399	568	193	23	201	0	7	213
Desulfovibrio piger	19	0	1	0	2	47	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	3	1	0	0	0	0	48	0	0	0	0	0	0	2	0	27	1	0	0	7	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	25	7	0	0	102	0	1	0	0	0	0	1	0	0	0	45	7	3	0	0	0	0	0	3	8	0	1	0	2	0	0	3	0	0	0	35	1	0	0
Bacteroides caecimuris	19	0	2	6	8	9	7	2	0	1	30	4	0	33	3	23	11	0	3	116	43	11	0	33	0	74	4	9	1	0	31	0	60	35	37	10	28	0	19	10	110	8	7	178	3	87	421	5837	0	0	11	1302	1	11	61	11	18	2	13	4	36	15	9	0	0	61	0	0	2	11	1	5	94	52	1	2	0	27	7344	0	33	18	23	0	11	0	0	44	0	1872	8	8	180	204	89	37	133	4	5	140
Comamonas thiooxydans	18	31	14	17	0	4	0	0	6	183	18	9	11	10	0	0	0	3	0	60	0	4	3	0	18	0	7	0	4	3	0	9	9	25	0	15	0	6	0	4	12	14	4	8	64	31	19	3	0	45	0	8	50	8	5	0	0	0	0	0	0	22	8	25	3	10	0	14	0	1	2	1	0	2	4	25	4	0	9	0	6	22	23	20	10	0	4	5	16	0	2	3	29	20	5	1	0	0	7	12
Acidaminococcus intestini	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	53	2	0	0	159	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	48	0	3	0
Streptococcus oralis	17	2	6	0	0	1	2	0	0	0	6	1	0	3	0	0	5	1	5	669	9	1	0	1	3	4	0	1	0	1	2	1	0	1	1	4	0	0	1	3	16	4	1	26	1	6	90	8	1	0	0	1	3	0	8	0	2	0	0	0	0	3	1	0	1	2	0	0	0	14	1	1	0	1	0	1	3	0	25	0	1	108	9	6	7	13	2	0	0	82	0	7	8	124	0	0	1	0	37	2
Alistipes finegoldii	17	0	1	0	5	16	6	0	0	0	22	11	77	0	0	13	8	0	0	4	0	0	1	13	0	65	0	10	2	0	244	0	0	31	7	16	12	0	4	0	0	4	0	335	0	158	176	3847	0	16	8	421	0	1	0	169	0	1	3	0	4	3	0	5	2	0	0	0	0	0	0	0	0	11	0	0	14	0	406	0	0	0	0	0	4	5	0	0	0	61	0	15	88	193	49	17	0	3	0	165
Bacteroides thetaiotaomicron	14	0	2	12	41	38	0	1	0	0	361	7	173	95	2	106	24	1	18	5366	39	14	1	38	53	319	4	37	4	2	139	6	4	75	288	17	117	3	454	26	597	15	38	226	4	270	1382	16025	1	485	26	883	2	34	38	52	26	14	189	0	35	16	66	5	7	36	2	6	62	64	5	3	58	43	1	8	36	134	110150	8	623	51	73	46	47	13	6	19	0	1037	33	29	434	779	580	23	407	3	9	457
Acinetobacter lactucae	14	74	12	18	0	6	1	0	4	178	30	7	10	6	0	0	0	4	0	107	0	6	3	0	35	0	6	0	5	4	0	9	13	27	0	15	0	8	0	5	24	45	4	8	121	30	23	5	0	55	0	11	101	4	3	0	0	0	0	1	0	40	2	37	8	10	0	7	1	1	4	5	2	6	0	18	2	0	7	0	4	38	38	39	16	0	3	4	9	1	3	11	40	40	2	3	0	0	5	15
Fusobacterium varium	13	1	0	1	0	0	0	0	0	0	24	0	1	0	0	2	1	0	13	1	0	0	0	38	27	0	0	7	0	0	0	0	0	0	0	0	9	0	0	0	10	0	0	10	0	0	0	58	0	0	2	0	0	14	66	0	2	16	0	0	135	0	0	1	0	36	20	42	12	4	0	0	0	84	0	0	4	92	58	3	0	3	0	661	0	0	0	0	0	0	2	0	76	5	4	0	30	0	0	4
Bacteroides salanitronis	10	0	0	0	0	4	0	0	0	0	4	1	0	5	0	2	6	0	0	22	16	3	0	7	15	49	0	5	2	1	0	1	2	20	11	4	6	2	5	3	12	0	0	85	0	8	38	1004	0	24	3	197	0	0	14	4	6	0	3	0	0	6	6	0	0	15	0	1	0	7	0	4	17	0	0	0	56	4	540	0	17	2	3	0	0	2	0	36	0	61	0	2	39	97	10	14	37	2	0	0
Bacteroides cellulosilyticus	10	2	0	1	1	0	1	0	0	0	0	6	497	24	0	0	25	0	6	28	12	2	0	11	20	55	10	0	8	0	0	2	0	16	210	7	3	2	18	22	70	6	2	245	1	0	4478	2673	1	40	24	1184	0	11	29	0	7	0	10	1	5	0	4	4	1	133	1	3	2	0	0	5	652	40	2	20	0	16	424	4	58	10	13	34	3	7	0	18	0	132	3	2	40	1498	128	11	0	1	6	181
Streptococcus suis	8	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	1	0	0	0	11	2	2	0	200	0	0	1	0	0	1	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	11	0	0	0	2	3	1	0	0	0	0	4	0	0	13	63	1	5	0	0	0	0
Acinetobacter oleivorans	8	28	3	8	0	2	0	0	2	69	18	4	1	3	0	0	0	3	0	44	0	4	2	0	17	0	1	1	5	1	0	2	4	21	0	10	0	1	0	2	14	12	3	4	84	15	7	1	0	27	0	3	48	2	10	0	0	1	0	1	0	19	3	19	3	6	0	6	0	0	2	2	0	0	0	17	0	1	3	0	3	18	23	20	6	0	2	2	4	1	2	4	16	25	1	1	0	0	1	6
Streptococcus anginosus	7	0	9	1	0	0	4	0	0	0	0	0	0	6	0	0	1	0	1	759	0	0	0	0	0	6	0	0	0	0	0	0	0	0	3	1	0	0	11	6	35	0	0	0	0	5	27	402	0	3	0	0	0	9	2	0	0	0	0	1	34	0	0	0	11	0	0	7	0	28	0	0	0	35	11	0	1	6	689	0	481	3	6	584	44	2	3	0	0	1546	0	16	154	115	5	1	0	0	0	0
Pseudomonas mosselii	7	41	6	3	0	2	1	0	4	129	16	2	6	5	0	0	0	2	0	67	0	4	1	0	16	0	4	0	1	3	0	1	12	14	0	14	0	4	0	3	10	25	2	4	73	24	13	4	0	36	0	0	44	7	4	0	0	0	0	1	0	28	2	18	1	5	0	3	0	0	3	3	4	0	0	7	3	0	4	0	5	14	23	18	4	0	2	2	9	0	1	2	19	24	4	4	0	0	10	12
Pseudomonas antarctica	7	10	2	1	3	4	0	1	2	11	5	13	3	1	1	2	5	4	1	28	0	1	2	2	10	3	4	80	5	4	5	7	6	5	2	2	6	9	2	1	14	30	1	2	20	6	20	120	2	22	1	7	52	2	3	9	0	2	0	1	4	22	2	9	3	12	0	4	1	3	2	0	2	3	0	6	0	0	5	0	3	2	12	15	5	1	1	0	9	3	3	10	25	14	7	4	3	1	0	5
Proteus mirabilis	7	1	0	0	0	0	0	0	66	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	0	3	0	0	0	161	0	0	0	0	6	0	0	0	0	0
Mycobacterium paragordonae	7	7	0	4	1	0	0	0	1	41	6	2	1	2	0	0	0	0	0	12	0	0	0	0	2	0	4	0	0	1	0	2	1	9	0	2	0	1	0	1	0	3	0	1	23	4	6	2	0	8	0	1	20	1	0	0	0	0	0	1	0	0	3	9	3	0	0	2	0	0	0	2	0	1	2	7	1	0	1	0	3	4	2	5	0	0	0	0	0	0	0	0	12	3	2	0	0	0	0	10
Acinetobacter johnsonii	7	26	3	10	0	1	0	0	0	70	19	7	4	2	0	0	0	4	0	53	1	3	0	0	22	0	8	1	1	0	0	5	9	14	0	9	0	6	1	5	10	35	0	10	75	17	12	14	0	32	0	2	72	2	5	0	0	0	0	0	0	13	3	16	2	7	0	8	0	0	2	4	1	2	1	12	1	0	5	0	6	16	26	20	9	8	2	0	10	10	1	2	24	28	7	0	1	0	1	6
Acinetobacter baumannii	7	23	6	2	0	1	0	0	4	66	0	2	2	1	0	3	1	2	2	28	1	1	0	3	15	0	3	0	2	2	4	1	8	16	1	7	0	1	1	0	7	22	3	4	42	24	5	1	2	17	1	5	34	5	4	1	0	1	1	0	1	16	1	14	1	7	0	1	0	1	1	4	2	1	0	6	0	0	4	0	7	30	20	11	6	0	1	3	6	91	7	1	15	22	1	0	0	0	2	18
Pseudomonas azotoformans	6	7	9	2	3	3	1	0	1	39	4	4	3	3	0	0	2	1	0	40	3	1	1	1	19	1	14	71	1	3	2	10	7	7	1	5	1	6	0	2	8	15	3	7	23	2	25	130	1	27	0	2	30	3	8	3	0	1	1	5	2	28	2	7	2	8	0	7	0	3	1	3	0	5	0	13	4	1	2	0	7	5	12	14	5	0	2	1	22	0	3	7	28	13	4	1	0	0	5	5
Fusobacterium periodonticum	6	0	3	3	0	2	0	2	0	0	2	0	0	4	0	263	146	0	10	13	16	7	0	22	8	0	0	1	0	0	3	1	1	0	1813	0	5	0	0	0	58	3	6	2	8	1	337	24792	1	0	0	0	2	57	118	3	225	6	2	1	723	9	1	482	7	182	0	44	1	15	0	12	0	1	5	0	2	0	5606	0	483	1	2	3	2	139	23	0	0	421	68	1	51	20	0	5	2167	0	931	0
Bifidobacterium longum	6	0	0	0	5	0	0	0	0	0	0	0	1	5	0	11	1	0	0	32	0	0	0	0	0	37	1	2	0	2	17	0	0	0	0	0	13	0	1	0	0	0	0	47	0	0	70	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	27	0	0	0	92	0	0	0	0	3	0	0	0	0	235	0	0	0	70	6	0	0
Acinetobacter nosocomialis	6	19	3	0	1	0	1	0	2	34	12	1	0	5	0	0	0	2	0	41	0	2	0	0	7	0	0	0	0	0	0	3	2	10	0	4	0	3	0	0	14	28	0	1	34	9	6	1	1	18	0	3	19	1	2	0	0	1	0	0	1	15	1	5	1	3	0	2	0	1	0	1	0	1	1	5	0	0	7	0	3	13	9	5	1	0	0	1	4	10	2	0	2	4	1	0	0	0	0	10
Prevotella melaninogenica	5	0	2	2	0	0	0	0	0	0	1	0	0	0	0	7	3	0	4	57	6	0	0	0	3	0	0	1	0	0	1	0	0	0	14	0	0	0	4	0	4	1	0	57	5	0	2	303	0	0	0	0	2	0	0	6	11	0	0	0	6	1	0	2	0	8	1	0	0	0	0	0	0	0	0	0	1	17	0	0	0	0	0	0	3	0	0	0	0	599	2	0	0	158	0	0	41	0	1	0
Prevotella fusca	5	0	2	1	0	6	0	0	0	0	1	0	0	12	0	9	32	0	1	25	10	1	0	0	5	0	0	0	0	0	2	0	0	9	14	1	0	0	16	3	0	0	0	48	2	0	4	755	0	0	0	0	0	0	1	0	10	0	0	0	19	5	0	3	0	5	0	4	0	0	0	0	3	2	0	0	2	7	3	0	0	1	2	3	2	1	0	0	0	1564	2	6	0	102	0	2	51	0	0	1
Fusobacterium hwasookii	5	0	0	8	0	1	0	0	0	0	0	0	0	17	0	32	13	0	25	25	26	0	0	3	1	0	0	0	0	0	44	0	0	0	214	1	10	0	5	0	271	0	3	3	1	0	45	36709	2	0	0	0	0	5	327	0	32	1	0	0	78	30	0	47	13	22	0	88	0	19	0	1	2	2	14	0	2	0	15003	0	66	1	0	5	0	20	2	0	0	1226	8	0	109	0	1	23	309	0	96	0
Streptococcus salivarius	4	3	0	0	6	13	30	0	0	0	9	0	0	7	0	0	0	0	0	129	0	0	0	6	1	1	0	0	0	0	4	0	0	22	2	6	1	0	0	97	7	5	0	48	2	3	65	45	0	8	0	6	0	0	6	0	7	2	1	0	0	6	3	0	0	2	0	0	1	0	0	2	2	0	0	0	1	0	20	0	0	6	44	32	14	3	0	0	1	0	1	17	39	1307	5	0	2	0	0	9
Eikenella corrodens	4	0	0	0	2	0	0	0	0	0	0	0	0	10	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	286	0	1	0	0	0	0	2979	0	0	0	0	0	0	2	0	0	0	0	4	4	0	0	0	0	14	4	0	0	0	1	0	3	0	0	0	0	0	504	0	1	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	4	0	1	0
Variovorax paradoxus	3	0	1	0	0	0	2	0	0	16	3	2	0	0	0	0	0	1	0	4	0	0	1	0	1	0	0	0	1	0	0	3	1	2	0	2	0	0	0	2	6	4	1	0	7	4	5	1	0	5	0	0	4	1	3	0	0	0	0	0	0	1	1	2	0	1	0	1	0	0	1	3	1	0	1	1	0	0	0	0	2	0	1	1	1	0	0	1	6	0	0	1	5	1	0	0	0	0	0	0
Variovorax boronicumulans	3	0	1	2	1	0	0	0	3	31	2	2	2	2	0	0	0	0	0	6	0	0	0	0	2	0	2	0	0	1	0	3	1	4	0	0	0	0	0	1	5	2	1	2	5	3	5	2	0	8	0	2	2	3	1	0	0	0	0	1	0	3	1	1	0	3	0	5	0	2	1	2	0	0	0	6	2	0	0	0	1	2	3	3	0	0	1	0	5	0	0	3	5	2	1	0	0	0	0	7
Streptococcus porcinus	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0	0	0	64	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	16	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0
Streptococcus mitis	3	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	369	3	0	0	0	4	5	0	0	0	0	0	0	0	4	0	2	0	0	0	4	17	3	0	9	1	14	39	88	0	0	1	2	1	1	10	0	3	0	0	0	1	4	0	1	0	1	0	0	0	11	0	4	2	0	0	0	1	3	21	0	0	21	4	10	2	4	0	0	0	78	0	0	7	156	0	0	1	0	3	1
Staphylococcus epidermidis	3	1	0	4	1	0	0	0	0	1	2	0	0	3	0	0	0	2	1	1	1	0	0	0	10	0	1	2	0	1	0	0	0	10	0	0	0	0	1	0	22	27	2	0	0	1	0	14	1	3	0	0	8	3	0	0	1	2	0	0	2	16	0	3	1	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	3	2	0	2	0	0	0	0	2	1	0	2	1	1	0	0	0	0	0
Pseudomonas yamanorum	3	9	0	1	0	1	3	0	2	26	1	1	5	3	0	1	1	1	0	13	0	1	0	2	4	0	2	25	0	1	0	1	1	10	0	3	1	2	0	0	7	8	1	2	12	7	9	66	1	16	0	2	20	1	2	0	1	0	0	1	1	11	0	3	1	0	0	2	0	0	2	1	1	2	1	5	0	0	1	0	7	5	5	10	2	0	2	1	5	0	0	3	7	11	2	0	0	0	7	2
Pseudomonas veronii	3	13	1	1	10	1	0	0	2	7	2	1	3	1	1	0	2	1	1	24	1	0	2	0	3	1	4	166	3	1	0	6	0	6	0	1	1	4	0	0	6	12	3	1	8	5	7	312	0	6	0	1	16	1	1	1	1	0	0	0	0	12	0	3	1	4	1	0	0	1	2	1	0	0	0	7	2	2	4	1	2	5	5	7	4	0	0	0	4	0	2	1	4	3	0	1	1	1	0	4
Pseudomonas trivialis	3	2	1	2	7	1	0	0	1	5	0	0	1	0	1	0	0	0	0	10	0	0	0	1	8	1	0	59	1	1	0	2	1	1	2	1	0	2	0	0	1	15	2	2	5	2	6	116	1	14	0	0	15	1	2	2	1	0	1	1	2	9	0	0	1	5	0	1	0	0	0	1	2	0	1	3	1	1	0	0	1	1	7	5	1	1	1	1	2	0	1	2	6	8	0	0	0	1	2	2
Pseudomonas aeruginosa	3	0	4	2	2	0	0	0	1	27	167	1	14	9	0	1	0	0	0	9	0	2	1	0	4	6	0	0	2	0	0	4	2	4	0	1	0	3	0	0	33	103	178	0	1	0	1	3	0	7	0	2	9	4	2	437	0	0	0	0	0	5	0	2	1	0	0	3	0	0	1	5	5	3	1	0	1	0	0	0	7	0	0	0	0	0	0	1	2	101	0	0	9	1	1	220	0	0	2	1
Moraxella osloensis	3	11	10	5	0	1	1	1	1	22	10	2	5	4	0	3	1	26	0	15	6	2	2	0	134	4	17	9	2	4	1	3	4	6	2	41	2	1	2	3	53	98	8	14	15	7	3	54	2	3	1	0	19	4	2	0	1	3	0	2	0	10	0	4	6	2	1	0	0	0	2	0	0	0	1	13	4	2	1	0	3	5	5	8	28	4	0	0	2	3	3	2	12	3	2	317	1	1	3	1
Haemophilus parainfluenzae	3	0	2	0	7	0	4	1	0	0	23	0	1	5	0	1	1	1	12	13	180	0	0	0	6	7	0	8	0	0	5	0	0	0	5	12	0	0	5	8	43	2	0	28	3	10	0	1985	1	2	0	6	4	0	2	1	10	0	0	0	12	2	6	1	0	3	0	0	0	87	0	0	1	0	0	1	3	1	55	0	0	20	47	1	15	11	0	4	0	1	0	13	0	55	0	1	1	0	0	1
Delftia tsuruhatensis	3	4	0	4	0	0	0	0	0	20	9	2	1	4	0	0	0	1	0	8	0	1	1	0	5	0	1	1	0	0	0	3	3	9	0	2	0	4	0	1	0	5	3	1	10	2	3	13	1	11	1	0	5	7	2	0	0	0	0	1	0	3	0	11	0	1	0	3	0	0	0	1	0	0	1	2	1	0	1	0	0	4	2	2	1	1	1	0	0	0	0	4	3	2	6	0	0	0	5	5
Cupriavidus metallidurans	3	0	3	0	0	0	0	0	0	18	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	2	4	0	0	2	0	2	0	0	0	7	0	1	0	3	1	0	0	0	0	0	0	0	0	2	1	2	0	1	0	0	0	2	0	0	0	2	1	0	3	0	0	0	6	3	1	0	0	0	2	0	0	1	5	5	2	0	0	0	1	4
